D/UW-3/CX L2/434/Bu A/HAR-13
CT005 CTL0260 CTA0006 
CT006 CTL0261 CTA0007 
CT036 CTL0291 CTA0038 
CT058 CTL0314 CTA0062 
CT079 CTL0335 CTA0084 
CT089 CTL0344 CTA0094 
CT101 CTL0356 CTA0107 
CT115 CTL0370 CTA0122 
CT116 CTL0371 CTA0123 
CT117 CTL0372 CTA0124 
CT118 CTL0373 CTA0125 
CT119 CTL0374 CTA0126 
CT134 CTL0389 CTA0141 
CT135 CTL0390 CTA0142 
CT147 CTL0402 CTA0156
CT164 CTL0419A CTA0174 
CT179 CTL0431 CTA0195 
CT192 CTL0444 CTA0210
CT195 CTL0447 CTA0213 
CT196 CTL0448 CTA0214 
CT214 CTL0466 CTA0234 
CT222 CTL0475 CTA0244 
CT223 CTL0476 CTA0245 
CT224 CTL0477 CTA0246 
CT225 CTL0477A CTA0247 
CT226 CTL0478 CTA0248
CT227 CTL0479 CTA0249 
CT228 CTL0480 CTA0250
CT229 CTL0481 CTA0251
CT232 CTL0484 CTA0254
CT233 CTL0485 CTA0255
CT244 CTL0496 CTA0266
CT249 CTL0500A CTA0271
CT288 CTL0540 CTA0310
CT300 CTL0552 CTA0322
CT324 CTL0576 CTA0348
CT345 CTL0599 CTA0374
CT357 CTL0611A CTA0387
CT358 CTL0612 CTA0389
CT365 CTL0619 CTA0397
CT383 CTL0639 CTA0418
CT440 CTL0699 CTA0480
CT442 CTL0701 CTA0482
CT449 CTL0709 CTA0491
CT483 CTL0744 CTA0530
CT484 CTL0745 CTA0531
CT529 CTL0791 CTA0578
CT565 CTL0828 CTA0615
CT616 CTL0880 CTA0669
CT618 CTL0882 CTA0671
CT642 CTL0010 CTA0697
CT728 CTL0097 CTA0790
CT788 CTL0156 CTA0858
CT789 CTL0157 CTA0859
CT813 CTL0184 CTA0885
CT819 CTL0191 CTA0893
CT846 CTL0218 CTA0922
CT850 CTL0223 CTA0927
